epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a,expr_acc
1,3.2578259358537287,1.099158086610164,2.1586678456436585,0.7076545357704163,0.2881099581718445,0.49788224697113037,0.5005916357040405,0.3439258635044098,0.3836221396923065,0.28307753801345825,0.6717967735954015
2,2.1551494616000615,1.0238257714434864,1.1313236942742968,0.7186351418495178,0.29721349477767944,0.5079243183135986,0.4886876344680786,0.33531004190444946,0.36662793159484863,0.27788206934928894,0.6940478397923234
3,1.9293824488914628,0.9897294515552093,0.9396529958262153,0.7318394184112549,0.3016663193702698,0.5167528688907623,0.4903344213962555,0.344820499420166,0.3606816828250885,0.28476402163505554,0.7098090116818098
4,1.843150366247491,0.9663180758930398,0.8768322864072675,0.7433024048805237,0.30730655789375305,0.5253044813871384,0.47138550877571106,0.34090638160705566,0.34665682911872864,0.28215503692626953,0.7133320971629891
5,1.7814840517474195,0.9460334875534906,0.8354505632234117,0.7501845359802246,0.313201904296875,0.5316932201385498,0.4710194170475006,0.3418770730495453,0.3452865779399872,0.282572865486145,0.7201928425737066
