epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a,expr_acc
1,3.2827517625252773,1.1236378354348557,2.159113924256387,0.707658588886261,0.27626481652259827,0.4919617027044296,0.4999847710132599,0.6616837978363037,0.3824794888496399,0.547705888748169,0.6721676246986835
2,2.162166597641873,1.0307374711135409,1.1314291300724257,0.71906578540802,0.28451064229011536,0.5017882138490677,0.48786622285842896,0.6670177578926086,0.364824503660202,0.5528233051300049,0.6957166697570926
3,1.9353271724467953,0.9956289865760632,0.9396981892442874,0.7322332262992859,0.2936089038848877,0.5129210650920868,0.4897826611995697,0.6772400140762329,0.35929054021835327,0.5599549412727356,0.7086964583719637
4,1.8469685066231876,0.9708088861818784,0.8761596254024199,0.7433449625968933,0.29960641264915466,0.521475687623024,0.47113633155822754,0.6726269721984863,0.3455633223056793,0.5576855540275574,0.7153717782310403
5,1.7846730456034474,0.9499184821830644,0.834754561910345,0.7504095435142517,0.3078184723854065,0.5291140079498291,0.4706585705280304,0.6849033832550049,0.34412315487861633,0.5653961300849915,0.7218616725384758
